
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
56:A7:03:A7:1A:F3, 2021-02-26 16:08:38, 2021-02-26 16:15:16,  1,  54, WPA2, CCMP,PSK, -64,       62,        0,   0.  0.  0.  0,   0, , 
2C:61:04:D1:58:E0, 2021-02-26 16:08:37, 2021-02-26 16:15:17,  1,  54, WPA2, CCMP,PSK, -67,       46,       35,   0.  0.  0.  0,  10, ZD8400_2.4, 
CC:08:FB:8E:00:9A, 2021-02-26 16:10:17, 2021-02-26 16:12:54,  1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
54:A7:03:C5:9C:67, 2021-02-26 16:12:31, 2021-02-26 16:12:31,  1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
64:09:80:33:A5:F6, 2021-02-26 16:08:37, 2021-02-26 16:09:00,  1,  -1, WPA ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
88:25:93:77:80:3E, 2021-02-26 16:12:17, 2021-02-26 16:12:48,  1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
54:A7:03:D7:1A:F3, 2021-02-26 16:08:42, 2021-02-26 16:15:17,  1,  54, WPA2, CCMP,PSK, -66,       52,       51,   0.  0.  0.  0,   7, TP-LINK, 
68:39:43:98:CC:7C, 2021-02-26 16:08:36, 2021-02-26 16:15:15,  1,  54, WPA2, CCMP TKIP,PSK, -64,      140,        0,   0.  0.  0.  0,  15, ecube-sa-100153, 
56:A7:03:A5:9C:65, 2021-02-26 16:08:35, 2021-02-26 16:15:19,  1,  54, WPA2, CCMP,PSK, -45,     2316,        0,   0.  0.  0.  0,   0, , 
54:A7:03:C5:9C:65, 2021-02-26 16:08:35, 2021-02-26 16:15:19,  1,  54, WPA2, CCMP,PSK, -46,     2201,     8603,   0.  0.  0.  0,  11, TP-LINK_821, 
B0:D5:9D:3E:56:08, 2021-02-26 16:08:35, 2021-02-26 16:15:19,  1,  54, OPN ,       ,   , -44,     2810,      125, 192.168.253.  1,  16, 360å..è´¹WiFi-08, 
E4:F4:C6:0C:F7:5D, 2021-02-26 16:08:35, 2021-02-26 16:15:19,  1,  54, WPA2, CCMP,PSK, -39,     3565,      244,   0.  0.  0.  0,  16, NETGEAR-2.4G-YF2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
9E:97:50:64:5A:CB, 2021-02-26 16:14:10, 2021-02-26 16:14:10, -56,        1, (not associated) ,
F6:AD:D0:B6:E2:65, 2021-02-26 16:14:02, 2021-02-26 16:14:02, -28,        2, (not associated) ,
DA:A1:19:09:07:24, 2021-02-26 16:10:21, 2021-02-26 16:14:02, -46,        3, (not associated) ,
FA:54:60:D1:30:87, 2021-02-26 16:14:04, 2021-02-26 16:14:04, -54,        1, (not associated) ,
B4:6D:83:11:DF:82, 2021-02-26 16:09:23, 2021-02-26 16:14:03, -64,       13, (not associated) , AndroidAP3C01
90:48:9A:E6:46:E1, 2021-02-26 16:12:01, 2021-02-26 16:14:02, -66,        6, (not associated) ,
FC:3D:B3:B4:29:F2, 2021-02-26 16:14:02, 2021-02-26 16:14:02, -68,        1, (not associated) ,
02:CF:0C:57:98:C8, 2021-02-26 16:13:52, 2021-02-26 16:13:52, -58,        1, (not associated) ,
48:CF:AC:DB:D3:F6, 2021-02-26 16:13:50, 2021-02-26 16:13:50, -64,        2, (not associated) ,
11:53:25:0F:0D:BB, 2021-02-26 16:13:42, 2021-02-26 16:13:42, -58,        1, (not associated) ,
EE:8B:9C:D9:81:DC, 2021-02-26 16:13:40, 2021-02-26 16:13:40, -58,        1, (not associated) ,
E8:4E:06:75:34:5A, 2021-02-26 16:08:39, 2021-02-26 16:13:42, -64,      144, 54:A7:03:C5:9C:65,
22:79:E9:18:1A:F6, 2021-02-26 16:13:31, 2021-02-26 16:13:31, -30,        1, (not associated) ,
54:33:CB:96:94:1D, 2021-02-26 16:08:37, 2021-02-26 16:15:17, -66,       42, 2C:61:04:D1:58:E0,
DA:B3:7F:2F:47:14, 2021-02-26 16:13:13, 2021-02-26 16:13:13, -60,        2, (not associated) ,
DA:A1:19:28:19:E6, 2021-02-26 16:11:04, 2021-02-26 16:13:14, -64,        6, (not associated) , FBT,CMCC-rynb
6A:AD:37:D4:C4:7E, 2021-02-26 16:13:01, 2021-02-26 16:13:01, -62,        1, (not associated) ,
BC:A9:20:98:1A:E1, 2021-02-26 16:10:17, 2021-02-26 16:12:54, -50,        8, CC:08:FB:8E:00:9A, TP-LINK_5G_822
6A:0E:4B:D1:91:46, 2021-02-26 16:12:50, 2021-02-26 16:12:50, -64,        2, (not associated) ,
DA:A1:19:0F:8A:BD, 2021-02-26 16:08:42, 2021-02-26 16:12:42, -36,        2, (not associated) ,
